,Latin or scientific name,Common name,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
110,Aucuba japonica,Gold dust plant,Aucuba japonica,Aucuba japonica,271451-1,271451-1,Species,CAL
111,Aucuba japonica variegated,Spotted laurel,Aucuba japonica,Aucuba japonica,271451-1,271451-1,Species,CAL
112,Azolla caroliniana,Mosquito fern,Azolla caroliniana,Azolla caroliniana,17056910-1,17056910-1,Species,CAL
113,Azolla caroliniana,Mosquito plant,Azolla caroliniana,Azolla caroliniana,17056910-1,17056910-1,Species,CAL
115,Barbarea spp,Wintercress,Barbarea,,,331385-2,Genus,CAL
116,Barbarea vulgaris,Rocket,Barbarea vulgaris,Barbarea vulgaris,29455-2,29455-2,Species,CAL
117,Beaucarnea recurvata,Bottle palm,Beaucarnea recurvata,Beaucarnea recurvata,531735-1,531735-1,Species,CAL
118,Begonia coccinea,Angel wing begonia,Begonia coccinea,Begonia coccinea,315561-2,315561-2,Species,CAL
119,Begonia goegoensis,"Begonia, iron cross",Begonia goegoensis,Begonia goegoensis,104769-1,104769-1,Species,CAL
120,Begonia rex,Merry Christmas,Begonia rex,Begonia rex,105573-1,105573-1,Species,CAL
121,Bellaperone gutta,False hop,,,,,,CAL
122,Bellaperone gutta,Mexican shrimp plant,,,,,,CAL
123,Bellaperone gutta,Shrimp bush or Shrimp plant,,,,,,CAL
124,Bergenia cordifolia,Elephantâs ear,Bergenia crassifolia var. crassifolia,Bergenia crassifolia,790361-1,77228835-1,Variety,CAL
125,Betula spp,Birch tree,Betula,,,328387-2,Genus,CAL
126,Billbergia spp,Friendship plant,Billbergia,,,30006865-2,Genus,CAL
127,Billbergia spp,Marbled rainbow plant,Billbergia,,,30006865-2,Genus,CAL
128,Billbergia spp,Queenâs tears,Billbergia,,,30006865-2,Genus,CAL
129,Billbergia spp,Rainbow plant,Billbergia,,,30006865-2,Genus,CAL
130,Bouvardia glaberrima,Smooth bouvardia,Bouvardia ternifolia,Bouvardia ternifolia,745109-1,745109-1,Species,CAL
131,Brachychiton spp,Bottle tree,Brachychiton,,,38633-1,Genus,CAL
132,Brassaia actinophylla,Australian umbrella tree,Heptapleurum actinophyllum,Heptapleurum actinophyllum,77213393-1,77213393-1,Species,CAL
133,Brassaia actinophylla,Octopus tree,Heptapleurum actinophyllum,Heptapleurum actinophyllum,77213393-1,77213393-1,Species,CAL
134,Brassaia actinophylla,Queen's umbrella tree,Heptapleurum actinophyllum,Heptapleurum actinophyllum,77213393-1,77213393-1,Species,CAL
135,Brassaia actinophylla,Schefflera,Heptapleurum actinophyllum,Heptapleurum actinophyllum,77213393-1,77213393-1,Species,CAL
136,Brassaia actinophylla,Umbrella tree,Heptapleurum actinophyllum,Heptapleurum actinophyllum,77213393-1,77213393-1,Species,CAL
137,Brassaia actionophylla,Brassaia,,,,,,CAL
138,Brassica oleracea,Cabbage kale,Brassica oleracea,Brassica oleracea,279435-1,279435-1,Species,CAL
139,Brassica oleracea,Kale,Brassica oleracea,Brassica oleracea,279435-1,279435-1,Species,CAL
140,Brassica oleracea,Ornamental cabbage,Brassica oleracea,Brassica oleracea,279435-1,279435-1,Species,CAL
141,Brassica oleracea,Ornamental kale,Brassica oleracea,Brassica oleracea,279435-1,279435-1,Species,CAL
142,Brassica spp,Wild mustard,Brassica,,,30043511-2,Genus,CAL
143,Breynia disticha,Snow bush,Breynia disticha,Breynia disticha,340073-1,340073-1,Species,CAL
144,Briza maxima or Briza major,"Quaking grass, big",Briza maxima,Briza maxima,393293-1,393293-1,Species,CAL
145,Bromelia balansae,Heart of flame,Bromelia balansae,Bromelia balansae,36836-2,36836-2,Species,CAL
146,Buddleia davidii,Butterfly bush,Buddleja davidii,Buddleja davidii,545734-1,545734-1,Species,CAL
147,Buddleia davidii,Buddleia,Buddleja davidii,Buddleja davidii,545734-1,545734-1,Species,CAL
149,Cactaceae,Cactus (except for thorns),,,,,,CAL
150,Calamus rotang,Rattan cane,Calamus rotang,Calamus rotang,665387-1,665387-1,Species,CAL
151,Calathea argyraea,Silver calathea,Goeppertia argyraea,Goeppertia argyraea,60458829-2,60458829-2,Species,CAL
152,Calathea makoyana,Brain plant,Goeppertia makoyana,Goeppertia makoyana,60461041-2,60461041-2,Species,CAL
153,Calathea makoyana,Peacock plant,Goeppertia makoyana,Goeppertia makoyana,60461041-2,60461041-2,Species,CAL
154,Calathea makoyana,Cathedral windows,Goeppertia makoyana,Goeppertia makoyana,60461041-2,60461041-2,Species,CAL
155,Calathea spp,Calathea,Calathea,,,30001411-2,Genus,CAL
156,Calathea spp,Maranta,Calathea,,,30001411-2,Genus,CAL
157,Calathea spp,Rattlesnake plant,Calathea,,,30001411-2,Genus,CAL
158,Calathea zebrina,Zebra plant,Goeppertia zebrina,Goeppertia zebrina,796810-1,796810-1,Species,CAL
159,Calceolaria spp,Slipper plant,Calceolaria,,,331444-2,Genus,CAL
160,Calendula officinalis,Calendula,Calendula officinalis,Calendula officinalis,187894-1,187894-1,Species,CAL
161,Calendula officinalis,Gold bloom,Calendula officinalis,Calendula officinalis,187894-1,187894-1,Species,CAL
162,Calendula spp,Marigold,Calendula,,,30120329-2,Genus,CAL
163,Calliandra eriophylla,Fairy duster,Calliandra eriophylla,Calliandra eriophylla,42149-2,42149-2,Species,CAL
164,Callicarpa americana,French mulberry,Callicarpa americana,Callicarpa americana,319128-2,319128-2,Species,CAL
165,Callicarpa americana,"Mulberry, French",Callicarpa americana,Callicarpa americana,319128-2,319128-2,Species,CAL
166,Callicarpa spp,Beauty berry,Callicarpa,,,30044566-2,Genus,CAL
167,Callisia spp,Inch plant,Callisia,,,329860-2,Genus,CAL
168,Callisia spp,Striped inch plant,Callisia,,,329860-2,Genus,CAL
169,Callistemon spp,Callistemon,,,,,,CAL
170,Callistemon spp,Bottlebrush,,,,,,CAL
171,Callistephus chinensis,"Aster, annual",Callistephus chinensis,Callistephus chinensis,188023-1,188023-1,Species,CAL
172,Calochortus spp,Mariposa lily,Calochortus,,,30008714-2,Genus,CAL
173,Calochortus spp,Sego lily,Calochortus,,,30008714-2,Genus,CAL
174,Camassia spp,Wild hyacinth,Camassia,,,331163-2,Genus,CAL
175,Camellia japonica,Camellia,Camellia japonica,Camellia japonica,828524-1,828524-1,Species,CAL
176,Campanula spp,Bellflower,Campanula,,,30027807-2,Genus,CAL
177,Campanula spp,Campanula,Campanula,,,30027807-2,Genus,CAL
178,Campanula spp,Canterbury bell,Campanula,,,30027807-2,Genus,CAL
179,Campanula spp,Cloche,Campanula,,,30027807-2,Genus,CAL
180,Canna generalis,Canna lily,Canna × hybrida,Canna × hybrida,77208084-1,77208084-1,Species,CAL
181,Cardiospermum halicacabum,Balloon vine,Cardiospermum halicacabum,Cardiospermum halicacabum,782206-1,782206-1,Species,CAL
182,Cardiospermum halicacabum,Heart pea,Cardiospermum halicacabum,Cardiospermum halicacabum,782206-1,782206-1,Species,CAL
183,Carpobrotus spp,Icicle plant,Carpobrotus,,,328405-2,Genus,CAL
184,Carthamus tinctorius,Safflower,Carthamus tinctorius,Carthamus tinctorius,324467-2,324467-2,Species,CAL
185,Carya spp,Bitternut,Carya,,,331465-2,Genus,CAL
186,Carya spp,Bitter pecan,Carya,,,331465-2,Genus,CAL
187,Carya spp,Hickory,Carya,,,331465-2,Genus,CAL
188,Caryopteris spp,"Spiraea, blue",Caryopteris,,,41221-1,Genus,CAL
189,Casimiroa edulis,Mexican apple,Casimiroa edulis,Casimiroa edulis,771774-1,771774-1,Species,CAL
190,Castanea spp,American chestnut,Castanea,,,30004045-2,Genus,CAL
191,Castanea spp,"Chestnut, sweet",Castanea,,,30004045-2,Genus,CAL
192,Castilleja spp,Paint brush,Castilleja,,,325881-2,Genus,CAL
193,Castilleja spp,Painted cup,Castilleja,,,325881-2,Genus,CAL
194,Catalpa spp,Catalpa,Catalpa,,,30022327-2,Genus,CAL
195,Cattleya spp,Orchid,Cattleya,,,28960-1,Genus,CAL
196,Celosia spp,Celosia,Celosia,,,327360-2,Genus,CAL
197,Celosia spp,Cockscomb,Celosia,,,327360-2,Genus,CAL
198,Celosia spp,Coxcomb,Celosia,,,327360-2,Genus,CAL
199,Celtis australis,Honeyberry,Celtis australis,Celtis australis,850999-1,850999-1,Species,CAL
200,Celtis sinensis,Chinese hackberry,Celtis sinensis,Celtis sinensis,851171-1,851171-1,Species,CAL
201,Celtis spp,"Hackberry, common",Celtis,,,30002308-2,Genus,CAL
202,Centaurea cyanus,Bachelor buttons,Centaurea cyanus,Centaurea cyanus,190310-1,190310-1,Species,CAL
203,Centaurea cyanus,Blue bottle,Centaurea cyanus,Centaurea cyanus,190310-1,190310-1,Species,CAL
204,Centaurea cyanus,Cornflower,Centaurea cyanus,Centaurea cyanus,190310-1,190310-1,Species,CAL
205,Centranthus ruber,"Valerian, red",Valeriana rubra,Valeriana rubra,860141-1,860141-1,Species,CAL
206,Centrosema virginianum,Butterfly pea,Centrosema virginianum,Centrosema virginianum,51897-2,51897-2,Species,CAL
207,Ceratonia siliqua,Carob,Ceratonia siliqua,Ceratonia siliqua,485647-1,485647-1,Species,CAL
208,Ceratonia siliqua,Locust pods,Ceratonia siliqua,Ceratonia siliqua,485647-1,485647-1,Species,CAL
209,Ceratonia siliqua,Sugar-pods,Ceratonia siliqua,Ceratonia siliqua,485647-1,485647-1,Species,CAL
210,Ceratonia siliqua,Carob tree,Ceratonia siliqua,Ceratonia siliqua,485647-1,485647-1,Species,CAL
211,Cercidium microphyllum,Palo verde,Parkinsonia microphylla,Parkinsonia microphylla,512248-1,512248-1,Species,CAL
212,Cercis canadensis,Red bud,Cercis canadensis,Cercis canadensis,316243-2,316243-2,Species,CAL
213,Ceropegia woodii,Hearts entangled,Ceropegia woodii,Ceropegia woodii,95848-1,95848-1,Species,CAL
214,Ceropegia woodii,Hearts-on-a-string,Ceropegia woodii,Ceropegia woodii,95848-1,95848-1,Species,CAL
215,Ceropegia woodii,Heart vine,Ceropegia woodii,Ceropegia woodii,95848-1,95848-1,Species,CAL
216,Ceropegia woodii,Rosary bead plant,Ceropegia woodii,Ceropegia woodii,95848-1,95848-1,Species,CAL
217,Ceropegia woodii,Rosary vine,Ceropegia woodii,Ceropegia woodii,95848-1,95848-1,Species,CAL
218,Ceropegia woodii,String of hearts,Ceropegia woodii,Ceropegia woodii,95848-1,95848-1,Species,CAL
219,Chaenomeles spp,"Quince, flowering",Chaenomeles,,,331479-2,Genus,CAL
220,Chamaedorea elegans,Dwarf palm,Chamaedorea elegans,Chamaedorea elegans,54865-2,54865-2,Species,CAL
221,Chamaedorea elegans,Good luck palm,Chamaedorea elegans,Chamaedorea elegans,54865-2,54865-2,Species,CAL
222,Chamaedorea elegans,Neanthebella,Chamaedorea elegans,Chamaedorea elegans,54865-2,54865-2,Species,CAL
223,Chamaedorea elegans,Parlor palm,Chamaedorea elegans,Chamaedorea elegans,54865-2,54865-2,Species,CAL
224,Chamaedorea spp,Bamboo palm,Chamaedorea,,,331165-2,Genus,CAL
225,Chlorophytum comosum,Ribbon plant,Chlorophytum comosum,Chlorophytum comosum,532810-1,532810-1,Species,CAL
226,Chlorophytum comosum,Spider ivy,Chlorophytum comosum,Chlorophytum comosum,532810-1,532810-1,Species,CAL
227,Chlorophytum comosum,Spider plant,Chlorophytum comosum,Chlorophytum comosum,532810-1,532810-1,Species,CAL
228,Choisya ternata,Mexican orange,Choisya ternata,Choisya ternata,771812-1,771812-1,Species,CAL
229,Chrysalidocarpus lutescens,Areca palm,Dypsis lutescens,Dypsis lutescens,985360-1,985360-1,Species,CAL
230,Chrysalidocarpus lutescens,Butterfly palm,Dypsis lutescens,Dypsis lutescens,985360-1,985360-1,Species,CAL
231,Chrysalidocarpus lutescens,Cane palm,Dypsis lutescens,Dypsis lutescens,985360-1,985360-1,Species,CAL
232,Chrysalidocarpus lutescens,Golden feather palm,Dypsis lutescens,Dypsis lutescens,985360-1,985360-1,Species,CAL
233,Cibotium spp,Hawaiian tree fern,Cibotium,,,17376040-1,Genus,CAL
234,Cibotium schiedei,Mexican tree fern,Cibotium schiedei,Cibotium schiedei,17069580-1,17069580-1,Species,CAL
235,Cissus discolor,Climbing begonia,Cissus discolor,Cissus discolor,869840-1,869840-1,Species,CAL
236,Cissus discolor,Rex-begonia vine,Cissus discolor,Cissus discolor,869840-1,869840-1,Species,CAL
237,Cissus discolor,Trailing begonia,Cissus discolor,Cissus discolor,869840-1,869840-1,Species,CAL
238,Cissus spp,Begonia cissus,Cissus,,,325875-2,Genus,CAL
239,Cistus spp,Rock rose,Cistus,,,30101376-2,Genus,CAL
240,Clarkia amoena,Fairwell-to-spring,Clarkia amoena,Clarkia amoena,59701-2,59701-2,Species,CAL
241,Clarkia amoena,Godetia,Clarkia amoena,Clarkia amoena,59701-2,59701-2,Species,CAL
242,Clarkia spp,Clarkia,Clarkia,,,30001602-2,Genus,CAL
243,Clarkia spp,Farewell to spring,Clarkia,,,30001602-2,Genus,CAL
244,Clarkia spp,Jodetia,Clarkia,,,30001602-2,Genus,CAL
245,Cleome spp,Cleome,Cleome,,,30009982-2,Genus,CAL
246,Cleome spp,Spider flower,Cleome,,,30009982-2,Genus,CAL
247,Clerodendrum spp,Bleeding heart,Clerodendrum,,,30002447-2,Genus,CAL
248,Clerodendrum spp,Pagoda flower,Clerodendrum,,,30002447-2,Genus,CAL
249,Clerodendrum spp,Bleeding heart vine,Clerodendrum,,,30002447-2,Genus,CAL
250,Clianthus spp,Clianthus,Clianthus,,,22037-1,Genus,CAL
251,Clintonia borealis,Corn lily,Clintonia borealis,Clintonia borealis,30082120-2,30082120-2,Species,CAL
252,Clintonia uniflora,Bride's bonnet,Clintonia uniflora,Clintonia uniflora,533180-1,533180-1,Species,CAL
253,Cobaeae scandens,Cathedral bells,,,,,,CAL
254,Cobaeae scandens,Cup-and-saucer vine,,,,,,CAL
255,Cobaeae scandens,Mexican ivy,,,,,,CAL
256,Coccothrinax alta,Fan palm,Coccothrinax alta,Coccothrinax alta,62339-2,62339-2,Species,CAL
257,Coccothrinax argentata,Silver palm,Coccothrinax argentata,Coccothrinax argentata,62341-2,62341-2,Species,CAL
258,Coccothrinax argentea,Broom palm,Coccothrinax argentea,Coccothrinax argentea,30310531-2,30310531-2,Species,CAL
259,Coccothrinax argentea,Silver thatch,Coccothrinax argentea,Coccothrinax argentea,30310531-2,30310531-2,Species,CAL
260,Coccothrinax crinita,Thatch palm,Coccothrinax crinita,Coccothrinax crinita,666033-1,666033-1,Species,CAL
261,Coleonema ericoides,Breath-of-heaven,,,,,,CAL
262,Coleus spp,Coleus,Coleus,,,20765-1,Genus,CAL
263,Cordyline australis,Cabbage tree,Cordyline australis,Cordyline australis,533544-1,533544-1,Species,CAL
264,Cordyline spp,Cordyline,Cordyline,,,24159-1,Genus,CAL
265,Cordyline australis,Palm lily,Cordyline australis,Cordyline australis,533544-1,533544-1,Species,CAL
266,Cordyline spp,Dracaena,Cordyline,,,24159-1,Genus,CAL
267,Cordyline spp,"Dracaena, blue",Cordyline,,,24159-1,Genus,CAL
268,Cordyline spp,"Dracaena, fountain",Cordyline,,,24159-1,Genus,CAL
269,Cordyline spp,"Dracaena, giant",Cordyline,,,24159-1,Genus,CAL
270,Cordyline terminalis,Good luck plant,Cordyline fruticosa,Cordyline fruticosa,533580-1,533580-1,Species,CAL
271,Cordyline terminalis,Hawaiian good luck plant,Cordyline fruticosa,Cordyline fruticosa,533580-1,533580-1,Species,CAL
272,Cordyline terminalis,Ti plant,Cordyline fruticosa,Cordyline fruticosa,533580-1,533580-1,Species,CAL
273,Coreopsis californica,Coreopsis,Coreopsis californica,Coreopsis californica,65779-2,65779-2,Species,CAL
274,Cornus canadensis,Bunchberry,Cornus canadensis,Cornus canadensis,271519-1,271519-1,Species,CAL
275,Cornus florida,"Dogwood, flowering",Cornus florida,Cornus florida,271574-1,271574-1,Species,CAL
276,Cornus nuttalii,Pacific dogwood,Cornus nuttallii,Cornus nuttallii,66154-2,66154-2,Species,CAL
277,Cornus nuttalii,Mountain dogwood,Cornus nuttallii,Cornus nuttallii,66154-2,66154-2,Species,CAL
278,Cortaderia selloana,Pampas grass,Cortaderia selloana,Cortaderia selloana,66317-2,66317-2,Species,CAL
279,Cosmos spp,Cosmos,Cosmos,,,8410-1,Genus,CAL
280,Cotinus spp,"Smoke tree, American",Cotinus,,,30173577-2,Genus,CAL
281,Crassula arborscens,Silver dollar,,,,,,CAL
282,Crassula argentea,Baby jade,Crassula ovata,Crassula ovata,273350-1,273350-1,Species,CAL
283,Crassula rupestris,Bead vine,Crassula rupestris,Crassula rupestris,273461-1,273461-1,Species,CAL
284,Crassula rupestris,Buttons on a string,Crassula rupestris,Crassula rupestris,273461-1,273461-1,Species,CAL
285,Crassula rupestris,Necklace vine,Crassula rupestris,Crassula rupestris,273461-1,273461-1,Species,CAL
286,Crassula rupestris,Rosary plant,Crassula rupestris,Crassula rupestris,273461-1,273461-1,Species,CAL
287,Crassula rupestris,Rosary vine,Crassula rupestris,Crassula rupestris,273461-1,273461-1,Species,CAL
