,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,Manual_snippet,try_Snippet,powo_Snippet,Compiled_Sources
77,30000199-2,Rubus,nan,nan,Genus,,"Leaf Spines: lower:yes,Leaf Spines: midrib/veins:yes,Leaf spines:abaxial,Stem spiny:yes,Thorn / spine length:5mm",,"['TRY (Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.)']"
78,30002432-2,Rosa,nan,nan,Genus,,"Leaf Spines: lower:yes,Leaf Spines: marginal:yes,Leaf spines:abaxial,Leaf spines:marginal,Stem spiny:yes",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
79,30012872-2,Salsola,nan,nan,Genus,,"Leaf Spines: lower:yes,Leaf spines: upper:yes,Leaf spines:adaxial and abaxial",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
80,30034699-2,Robinia pseudoacacia,Robinia pseudoacacia,30034699-2,Species,,Stem spiny:yes,,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
81,30089555-2,Rosa acicularis,Rosa acicularis,30089555-2,Species,,Stem spiny:yes,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
82,30148396-2,Euonymus alatus,Euonymus alatus,30148396-2,Species,,"Leaf spines:marginal,Stem spiny:yes",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
83,302252-1,Carex siderosticta,Carex siderosticta,302252-1,Species,,Leaf spines:marginal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
84,302387-2,Populus tremula,Populus tremula,302387-2,Species,,Leaf spines:terminal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
85,30275681-2,Asparagus,nan,nan,Genus,,Spinescence / thorniness:yes,,"['TRY (Onstein RE, Richard J. Carter, Yaowu Xing, H. Peter LinderInstitute (2014) Diversification rate shifts in the Cape Floristic Region: The right traits in the right place at the right time. Perspectives in Plant Ecology, Evolution and Systematics 16(6) 331\x96340 DOI:10.1016/j.ppees.2014.08.002)']"
86,303401-2,Salsola kali,Salsola kali,303401-2,Species,,Thorn / spine length:3mm,,"['TRY (Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.)']"
87,316341-2,Ximenia americana,Ximenia americana,316341-2,Species,,Spinescence / thorniness:4,,"['TRY (Joseph, G.S., Seymour, C.L., Cumming, G.S., Cumming, D.H.M., & Mahlangu, Z. 2014. Termite mounds increase functional diversity of woody plants in African savannas. Ecosystems 17: 808\x96819.)']"
88,322212-1,Diospyros cathayensis,Diospyros cathayensis,322212-1,Species,,"Spinescence / thorniness:0.5,Stem spiny:yes",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
89,324046-2,Calamus thysanolepis,Calamus thysanolepis,324046-2,Species,,"Leaf Spines: lower:yes,Leaf Spines: marginal:yes,Leaf spines: upper:yes,Leaf spines:adaxial and abaxial,Stem spiny:yes",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
90,324136-1,Elaeocarpus glabripetalus,Elaeocarpus glabripetalus,324136-1,Species,,"Leaf Spines: marginal:yes,Leaf spines:marginal",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
91,327055-2,Styrax hemsleyanus,Styrax hemsleyanus,327055-2,Species,,Leaf spines:marginal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
92,327585-1,Clethra delavayi,Clethra delavayi,327585-1,Species,,Leaf spines:marginal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
93,328526-2,Berberis,nan,nan,Genus,,"Leaf Spines: marginal:yes,Leaf spines:marginal,Stem spiny:yes",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
94,332101-2,Ononis spinosa,Ononis spinosa,332101-2,Species,,Thorn / spine length:12mm,,"['TRY (Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.)']"
95,332644-1,Rhododendron irroratum,Rhododendron irroratum,332644-1,Species,,Leaf spines:terminal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
96,332855-1,Rhododendron mariae,Rhododendron mariae,332855-1,Species,,"Leaf Spines: marginal:yes,Leaf spines:marginal",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
97,333359-1,Rhododendron simsii,Rhododendron simsii,333359-1,Species,,Leaf spines:terminal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
98,334370-1,Vaccinium duclouxii,Vaccinium duclouxii,334370-1,Species,,Leaf spines:marginal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
99,351650-1,Mallotus philippensis,Mallotus philippensis,351650-1,Species,,"Leaf Spines: marginal:yes,Leaf spines:marginal",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
100,358308-1,Castanea seguinii,Castanea seguinii,358308-1,Species,,"Leaf Spines: marginal:yes,Leaf spines:marginal",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
101,358473-1,Castanopsis wattii,Castanopsis wattii,358473-1,Species,,Leaf spines:marginal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
102,359487-1,Quercus chenii,Quercus chenii,359487-1,Species,,"Leaf Spines: marginal:yes,Leaf spines:marginal",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
103,373823-1,Geranium wilfordii,Geranium wilfordii,373823-1,Species,,Leaf spines:marginal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
104,427964-1,Garcinia gerrardii,Garcinia gerrardii,427964-1,Species,,Thorn / spine length:0.48mm,,"['TRY (van der Plas, F. & Olff, H. (2014) Mesoherbivores affect grasshopper communities in a megaherbivore-dominated South African savannah. Oecologia 175: 639. doi:10.1007/s00442-014-2920-z)']"
105,430722-1,Loropetalum chinense,Loropetalum chinense,430722-1,Species,,"Leaf Spines: terminal:yes,Leaf spines:terminal",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
106,434237-1,Cassinopsis ilicifolia,Cassinopsis ilicifolia,434237-1,Species,,Spinescence / thorniness:yes,,"['TRY (Onstein RE, Richard J. Carter, Yaowu Xing, H. Peter LinderInstitute (2014) Diversification rate shifts in the Cape Floristic Region: The right traits in the right place at the right time. Perspectives in Plant Ecology, Evolution and Systematics 16(6) 331\x96340 DOI:10.1016/j.ppees.2014.08.002)']"
107,44881-1,Acanthus leucostachyus,Acanthus leucostachyus,44881-1,Species,,Leaf spines:marginal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
108,476249-1,Astragalus armatus,Astragalus armatus,476249-1,Species,,Spinescence / thorniness:Presence,,"[""TRY (Frenette-Dussault, C., Shipley, B., Léger, J.F., Meziane, D. & Hingrat, Y. (2012). Functional structure of an arid steppe plant community reveals similarities with Grime's C-S-R theory. Journal of Vegetation Science 23: 208-222.)""]"
109,478648-1,Astragalus microcephalus,Astragalus microcephalus,478648-1,Species,,Thorn / spine length:25mm,,"['TRY (Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.)']"
110,481889-1,Biancaea sappan,Biancaea sappan,481889-1,Species,,Stem thorny:yes,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
111,483544-1,Campylotropis delavayi,Campylotropis delavayi,483544-1,Species,,Leaf spines:terminal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
112,483580-1,Campylotropis pinetorum,Campylotropis pinetorum,483580-1,Species,,Leaf spines:terminal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
113,483860-1,Caragana microphylla,Caragana microphylla,483860-1,Species,,"Leaf Spines: terminal:yes,Leaf spines:terminal,Stem spiny:yes",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
114,490086-1,Dalbergia armata,Dalbergia armata,490086-1,Species,,"Thorn / spine length:0.9mm,Thorn / spine length:2.98mm",,"['TRY (van der Plas, F. & Olff, H. (2014) Mesoherbivores affect grasshopper communities in a megaherbivore-dominated South African savannah. Oecologia 175: 639. doi:10.1007/s00442-014-2920-z)']"
115,490328-1,Dalbergia melanoxylon,Dalbergia melanoxylon,490328-1,Species,,Spinescence / thorniness:1,,"['TRY (Joseph, G.S., Seymour, C.L., Cumming, G.S., Cumming, D.H.M., & Mahlangu, Z. 2014. Termite mounds increase functional diversity of woody plants in African savannas. Ecosystems 17: 808\x96819.)']"
116,490399-1,Dalbergia pinnata,Dalbergia pinnata,490399-1,Species,,Stem thorny:yes,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
117,496341-1,Genista scorpius,Genista scorpius,496341-1,Species,,Thorn / spine length:60mm,,"['TRY (Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.)']"
118,50425772-2,Stachyphrynium placentarium,Stachyphrynium placentarium,50425772-2,Species,,Leaf spines:marginal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
119,51299-1,Justicia patentiflora,Justicia patentiflora,51299-1,Species,,Leaf spines:abaxial,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
120,518304-1,Senegalia senegal,Senegalia senegal,518304-1,Species,,"Thorn / spine length:0.24mm,Thorn / spine length:0.26mm",,"['TRY (van der Plas, F. & Olff, H. (2014) Mesoherbivores affect grasshopper communities in a megaherbivore-dominated South African savannah. Oecologia 175: 639. doi:10.1007/s00442-014-2920-z)']"
121,524298-1,Ulex europaeus,Ulex europaeus,524298-1,Species,,"Thorn / spine length:25mm,Thorn density:2",,"['TRY (Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.)']"
122,525130-1,Vicia sepium,Vicia sepium,525130-1,Species,,Leaf spines:terminal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
123,530140-1,Anemarrhena asphodeloides,Anemarrhena asphodeloides,530140-1,Species,,Leaf spines:terminal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
124,530992-1,Asparagus acutifolius,Asparagus acutifolius,530992-1,Species,,Spinescence / thorniness:1,,"['TRY (Burrascano S, Copiz R, Del Vico E, Fagiani S, Giarrizzo E, Mei M, Mortelliti A, Sabatini FM, Blasi C (2015) Wild boar rooting intensity determines shifts in understorey composition and functional traits. COMMUNITY ECOLOGY 16(2) 244-253 DOI: 10.1556/168.2015.16.2.12)']"
125,530994-1,Asparagus aethiopicus,Asparagus aethiopicus,530994-1,Species,,Spinescence / thorniness:yes,,"['TRY (Onstein RE, Richard J. Carter, Yaowu Xing, H. Peter LinderInstitute (2014) Diversification rate shifts in the Cape Floristic Region: The right traits in the right place at the right time. Perspectives in Plant Ecology, Evolution and Systematics 16(6) 331\x96340 DOI:10.1016/j.ppees.2014.08.002)']"
126,531023-1,Asparagus brachyphyllus,Asparagus brachyphyllus,531023-1,Species,,"Leaf Spines: terminal:yes,Leaf spines:terminal,Stem spiny:yes",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
127,536625-1,Hosta plantaginea,Hosta plantaginea,536625-1,Species,,Leaf spines:marginal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
128,540443-1,Ruscus aculeatus,Ruscus aculeatus,540443-1,Species,,Spinescence / thorniness:3,,"['TRY (Burrascano S, Copiz R, Del Vico E, Fagiani S, Giarrizzo E, Mei M, Mortelliti A, Sabatini FM, Blasi C (2015) Wild boar rooting intensity determines shifts in understorey composition and functional traits. COMMUNITY ECOLOGY 16(2) 244-253 DOI: 10.1556/168.2015.16.2.12)']"
129,541279-1,Smilax aspera,Smilax aspera,541279-1,Species,,Spinescence / thorniness:3,,"['TRY (Burrascano S, Copiz R, Del Vico E, Fagiani S, Giarrizzo E, Mei M, Mortelliti A, Sabatini FM, Blasi C (2015) Wild boar rooting intensity determines shifts in understorey composition and functional traits. COMMUNITY ECOLOGY 16(2) 244-253 DOI: 10.1556/168.2015.16.2.12)']"
130,541401-1,Smilax discotis,Smilax discotis,541401-1,Species,,"Leaf spines:terminal,Stem spiny:yes",,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
131,541438-1,Smilax ferox,Smilax ferox,541438-1,Species,,Stem spiny:yes,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
132,541513-1,Smilax hypoglauca,Smilax hypoglauca,541513-1,Species,,Leaf spines:terminal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
133,541636-1,Smilax menispermoidea,Smilax menispermoidea,541636-1,Species,,Leaf spines:terminal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
134,541681-1,Smilax ocreata,Smilax ocreata,541681-1,Species,,"Leaf spines:terminal,Stem spiny:yes",,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
135,541869-1,Smilax stans,Smilax stans,541869-1,Species,,Leaf spines:terminal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
136,541966-1,Smilax zeylanica,Smilax zeylanica,541966-1,Species,,"Leaf spines:terminal,Stem spiny:yes",,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
137,547485-1,Strychnos spinosa,Strychnos spinosa,547485-1,Species,,Thorn / spine length:0.64mm,,"['TRY (van der Plas, F. & Olff, H. (2014) Mesoherbivores affect grasshopper communities in a megaherbivore-dominated South African savannah. Oecologia 175: 639. doi:10.1007/s00442-014-2920-z)']"
138,554129-1,Punica granatum,Punica granatum,554129-1,Species,,Thorn / spine length:10mm,,"['TRY (Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.)']"
139,584314-1,Maclura cochinchinensis,Maclura cochinchinensis,584314-1,Species,,Stem spiny:yes,,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
140,60426838-2,Catunaregam taylorii,Catunaregam taylorii,60426838-2,Species,,Spinescence / thorniness:3," <b>Appearance</b>: -brown, flaky; <em>spines</em> borne above cushion shoots or brachyblasts","['TRY (Joseph, G.S., Seymour, C.L., Cumming, G.S., Cumming, D.H.M., & Mahlangu, Z. 2014. Termite mounds increase functional diversity of woody plants in African savannas. Ecosystems 17: 808\x96819.)', 'POWO pages(/taxon/urn:lsid:ipni.org:names:60426838-2)']"
